beta_I,beta_FR,phi0,theta_N,alpha,gamma_comm,delta_C,phi_obs,R0,R0_B,R0_N,rho_N,trM,detM
0.82934873,2.03765,0.49421912,0.043674014,0.017618352,0.085085778,0.010048825,0.67485101,2.3789417,1.6467498,3.3686992,2.6819558,2.4977701,0.28268584
0.8222729,2.0306623,0.46675921,0.033012844,0.015538881,0.083084234,0.010036405,0.6080917,2.358102,1.6338846,3.4445309,2.7433702,2.4790204,0.28513808
0.82636475,1.6068226,0.52084632,0.030014299,0.015511932,0.088612725,0.010116283,0.58767414,2.4321956,1.6413243,3.3404195,2.7817023,2.5262918,0.22886053
0.82341496,1.6447311,0.45988127,0.040498171,0.023636714,0.083137642,0.010515312,0.56157618,2.2766298,1.6359611,3.2457556,2.6874874,2.3762754,0.2268563
0.84109941,1.6841276,0.50955074,0.036797555,0.016912909,0.072590217,0.010198626,0.46785631,2.4264461,1.6681146,3.3507146,2.7742565,2.5254847,0.24031185
0.81965298,1.1336492,0.5294533,0.033084323,0.0203654,0.084033894,0.010913653,0.49559102,2.3539096,1.6291211,3.1255124,2.7341433,2.4213904,0.15884379
0.8230549,1.0545518,0.49029756,0.028543189,0.014757574,0.073720077,0.011332989,0.59554922,2.3134158,1.6353064,3.1509385,2.7829789,2.3784171,0.150375
0.81937427,2.4622147,0.51650954,0.035183751,0.015800096,0.0820361,0.010235438,0.5360835,2.4891174,1.6286144,3.5622111,2.7162974,2.6273355,0.3440413
0.84452789,1.7342551,0.49478841,0.039533916,0.024136395,0.096526036,0.010115085,0.62159265,2.4022169,1.6743482,3.353155,2.7632186,2.5050024,0.24691294
0.83918096,1.8004741,0.50390637,0.042641652,0.018895926,0.0927387,0.010148694,0.62187328,2.3980586,1.6646265,3.3295644,2.72136,2.5035993,0.25309282
0.81860487,1.6128217,0.47197454,0.033453661,0.015922536,0.080651891,0.01638869,0.57007721,2.3115847,1.6272155,3.2840101,2.7276935,2.4091804,0.22560073
0.83962279,1.6533915,0.48506491,0.03633874,0.023012244,0.081259831,0.010630447,0.53455961,2.3784828,1.6654299,3.3397147,2.7731829,2.4775667,0.23566931
0.80763929,1.9458595,0.51801283,0.034888975,0.01949373,0.074821362,0.015502902,0.59105662,2.3976171,1.6072781,3.3491403,2.6801706,2.509585,0.2684562
0.80175348,1.7214378,0.54578912,0.037831717,0.017067347,0.086409687,0.012724531,0.52060393,2.388417,1.5965766,3.2258772,2.6380362,2.4858311,0.23266549
0.78808116,1.9932193,0.52678329,0.035522614,0.015180817,0.081502629,0.012553667,0.51175134,2.3664441,1.5717178,3.2954155,2.6111623,2.4797329,0.26809174
0.84926457,1.6922072,0.51503295,0.035043828,0.015100873,0.087033796,0.011183688,0.71849249,2.4666198,1.6829604,3.3969639,2.8154052,2.5657287,0.24446389
0.81475968,1.7227895,0.51240652,0.042944552,0.012818484,0.089026705,0.011680656,0.6625743,2.340673,1.6202242,3.2225225,2.6409529,2.4412523,0.23542323
0.78161478,1.8079339,0.49527787,0.036918743,0.032790438,0.074885982,0.010328452,0.47789105,2.2647821,1.5599608,3.1981207,2.5794564,2.3713051,0.24125148
0.83788869,1.5531803,0.43813975,0.028395118,0.020767366,0.094168726,0.012488214,0.53183828,2.3174287,1.6622769,3.3760701,2.8339365,2.4131578,0.22184552
0.82917946,1.6265331,0.49825852,0.034830568,0.034050477,0.090537706,0.010409463,0.6111437,2.3788336,1.646442,3.3105579,2.7512946,2.4756019,0.23019584
0.83592096,1.842779,0.44808837,0.040286548,0.022646057,0.083471149,0.011480588,0.64837101,2.3076549,1.6586993,3.3552283,2.729439,2.4188942,0.25670188
0.77091961,1.8639063,0.59748333,0.035199276,0.02389975,0.088999634,0.015555108,0.51155077,2.4331819,1.540515,3.1977463,2.5574091,2.5306831,0.23723802
0.80713718,1.8977444,0.58474171,0.03626788,0.029810401,0.078545253,0.014329155,0.52988157,2.5060356,1.6063651,3.3180567,2.6676922,2.6072626,0.25367841
0.83015769,2.1868201,0.50221577,0.029582546,0.014668674,0.079802248,0.010902038,0.71925419,2.4815283,1.6482206,3.5591439,2.7979789,2.6079164,0.31363577
0.7906813,1.3942408,0.52945955,0.029776177,0.032603705,0.090717503,0.01470375,0.49112934,2.3275894,1.5764453,3.1497327,2.6646616,2.4094374,0.19050836
0.83933712,1.2628225,0.46767552,0.015765478,0.018333548,0.08666176,0.012936661,0.51342395,2.4010608,1.6649105,3.4067576,2.9521998,2.4795297,0.18840875
0.8118668,1.7888213,0.493006,0.01968968,0.020258169,0.092003183,0.012063198,0.64326049,2.4174772,1.6149644,3.4587254,2.8210764,2.5239496,0.25739474
0.8441969,1.6839927,0.52925278,0.020302565,0.018636095,0.086448839,0.010819791,0.65432237,2.5565234,1.6737464,3.526441,2.9270632,2.6542902,0.24994312
0.82242369,1.4023385,0.50777179,0.027276224,0.018421515,0.09534425,0.01068059,0.60241644,2.3870827,1.6341588,3.2823392,2.7915541,2.4710583,0.20045677
0.78864001,1.9960045,0.47003761,0.027991096,0.013243158,0.063676841,0.013169419,0.50758023,2.298417,1.5727339,3.3695081,2.67214,2.4172853,0.27320896
0.82661037,1.8873934,0.5614148,0.040798833,0.019142231,0.082283375,0.011241925,0.569999,2.4887419,1.6417709,3.3356343,2.6954326,2.5927309,0.25880174
0.81300552,1.3612499,0.51398459,0.031116017,0.017070582,0.094331654,0.016442888,0.6844071,2.349626,1.6170348,3.2002622,2.7281568,2.4307893,0.19070341
0.81191092,1.3977218,0.53648661,0.036662357,0.027198686,0.09596626,0.012492942,0.7165182,2.3618452,1.6150447,3.1587506,2.6801782,2.4432223,0.19220003
0.78433656,2.2004961,0.60253319,0.035701249,0.014678631,0.066966532,0.011527767,0.57905818,2.5302357,1.5649095,3.3526461,2.5975467,2.6420801,0.28299266
0.83697645,1.3238856,0.45744385,0.035219123,0.025090657,0.084048152,0.012843557,0.62990476,2.2961951,1.6606183,3.2284794,2.7736849,2.3778268,0.18744228
0.84525991,2.125878,0.52403849,0.040761318,0.01086408,0.078588454,0.010468932,0.52147547,2.498972,1.6756792,3.4768937,2.7557376,2.6195849,0.30140831
0.82491838,1.1743206,0.48312759,0.043883205,0.059493173,0.097713301,0.011039611,0.53805308,2.2544456,1.6386946,3.0618296,2.6662355,2.3262504,0.16187997
0.85557482,1.6670992,0.46226759,0.032719032,0.01122326,0.059850994,0.011325894,0.50963491,2.3963147,1.6944336,3.4317979,2.8557775,2.4975608,0.24261748
0.86625248,1.7254604,0.44812332,0.040845836,0.014264459,0.070413048,0.01063106,0.54125388,2.3682129,1.7138475,3.4078085,2.8225961,2.4729509,0.24804202
0.85882232,1.7349037,0.45209332,0.034936061,0.012936973,0.070306613,0.010664456,0.54191202,2.3832527,1.7003381,3.4440274,2.8476473,2.4886484,0.25118469
0.85620538,1.9911214,0.41300903,0.042912581,0.015160068,0.085223589,0.010744791,0.58557233,2.298225,1.69558,3.4458456,2.7736463,2.4184555,0.27631685
0.84073286,1.4366595,0.53895588,0.035884729,0.0284511,0.085426523,0.010533507,0.52064084,2.4495832,1.6674482,3.2733048,2.7805233,2.5329341,0.20417497
0.82324125,1.8304443,0.51169574,0.0476329,0.019227104,0.085662484,0.010836378,0.7302758,2.3525221,1.6356452,3.2442534,2.6326997,2.4587632,0.2499344
0.79929381,1.5635839,0.58395383,0.029777485,0.038909448,0.093236593,0.017239935,0.53817779,2.4675896,1.5921044,3.2373665,2.6933808,2.5528615,0.21041612
0.788313,1.8252598,0.52737839,0.040312743,0.01509316,0.06496771,0.012961175,0.58336381,2.3238103,1.5721393,3.1956158,2.5758123,2.4283257,0.24287395
0.87031874,1.7472316,0.48556967,0.055858178,0.03014707,0.08443892,0.012180679,0.62140977,2.3799187,1.7212407,3.2911297,2.7176019,2.4835312,0.24658929
0.85126337,1.8383457,0.44414581,0.033006821,0.01894951,0.098242704,0.014459781,0.55654902,2.3688235,1.6865946,3.4738605,2.8390953,2.4804012,0.26430799
0.85317589,1.9345312,0.44160244,0.038889275,0.016602291,0.098668692,0.013630081,0.53972382,2.3529345,1.6900719,3.4554375,2.7964132,2.4696616,0.27465122
0.86150796,1.5334985,0.48052402,0.044127945,0.025728598,0.082806496,0.011125365,0.62388986,2.3777582,1.7052211,3.2971609,2.7808505,2.4701864,0.2197719
0.85716949,1.6379895,0.41986725,0.033027173,0.016548619,0.08984526,0.011347276,0.60135474,2.3215751,1.697333,3.4239705,2.8584133,2.4222915,0.23382071
0.85575764,1.3103877,0.42605053,0.042843284,0.022745422,0.064799567,0.010636302,0.44895187,2.261476,1.694766,3.2152221,2.7727691,2.3425571,0.18336301
0.86340952,1.9073002,0.45217609,0.039731697,0.013872818,0.096131198,0.014147903,0.58961698,2.3907923,1.7086785,3.4711005,2.8225895,2.5056036,0.27448982
0.78921101,1.3992405,0.56008303,0.036103106,0.020332752,0.064750896,0.010817518,0.55895065,2.3436886,1.5737721,3.0901252,2.6104188,2.4230557,0.18601178
0.81382515,1.4096277,0.53350441,0.027536682,0.022417495,0.065512153,0.010251248,0.52002538,2.4083169,1.6185251,3.2534806,2.7604501,2.4907811,0.1985998
0.81870595,1.6553258,0.52214296,0.035238152,0.016839362,0.068675623,0.010063669,0.57137527,2.3950924,1.6273993,3.2823018,2.7136724,2.491495,0.23089302
0.78862494,1.8299002,0.46170811,0.030841592,0.011342449,0.069669109,0.010064631,0.5885537,2.2528291,1.5727065,3.284405,2.6493553,2.3630116,0.24822227
0.84530354,1.6782316,0.53656263,0.032683117,0.017555617,0.076621962,0.011041421,0.53152908,2.5055855,1.6757585,3.4020653,2.8221499,2.6020302,0.24165041
0.81188671,1.9551185,0.52013616,0.045057407,0.014946745,0.092114184,0.012050973,0.53420122,2.3653676,1.6150006,3.2728648,2.6159521,2.4773157,0.26479845
0.83256367,1.7376437,0.49797458,0.026342701,0.014646551,0.089295904,0.016683272,0.55082105,2.4411168,1.6525951,3.4431957,2.8337058,2.5442687,0.25180588
0.79737313,1.8517193,0.53614476,0.025796633,0.014469276,0.084550005,0.013041337,0.52304405,2.4382157,1.5886123,3.369817,2.719465,2.5435959,0.25693957
0.84362386,2.0185783,0.45398879,0.028509269,0.013096099,0.077272356,0.010402031,0.52413414,2.4065932,1.6727045,3.5565588,2.8521698,2.5279533,0.29206433
0.81150249,2.127132,0.49490546,0.037197025,0.014690805,0.083593985,0.011694676,0.51587645,2.3755173,1.6143021,3.4020882,2.6746585,2.4990872,0.29354234
0.83553311,1.6427124,0.50859584,0.03714388,0.01198061,0.073320544,0.011445264,0.65501209,2.4039723,1.6579941,3.3151507,2.7533131,2.500817,0.23281202
0.82619596,1.5499714,0.55252001,0.034614351,0.011048329,0.074467212,0.010974296,0.63347509,2.4565701,1.6410174,3.2764638,2.7432596,2.5446343,0.21633581
0.81138226,1.7189935,0.5533793,0.039707334,0.011718198,0.081856849,0.010754439,0.68560039,2.4169802,1.6140834,3.2393176,2.6548016,2.5134544,0.23317615
