beta_I,beta_FR,phi0,theta_N,alpha,gamma_comm,delta_C,phi_obs,R0
0.93510628,1.4619394,0.49841367,0.058788886,0.023126053,0.099993185,0.014566945,0.71563299,2.5147935
0.93512335,1.4784032,0.48851156,0.040232854,0.021116125,0.099988991,0.011708795,0.82879499,2.5865237
0.99656984,1.6879611,0.45599273,0.045236259,0.012004561,0.099996151,0.011004547,0.86250932,2.676656
0.90870038,1.71103,0.5138481,0.029801121,0.02361946,0.061567066,0.015026712,0.46331632,2.6473899
0.90994701,1.5220448,0.43839975,0.024639262,0.02328755,0.066119527,0.015512488,0.84921778,2.5118208
0.91360711,1.7074658,0.53673097,0.026252122,0.016179489,0.071347731,0.013036807,0.84503895,2.7251878
0.95696777,1.4645391,0.43615211,0.05078942,0.018540266,0.073202609,0.012406486,0.46820858,2.5014896
0.93487134,1.9107301,0.53307792,0.026911585,0.028531827,0.074669702,0.014041099,0.74589606,2.7974347
0.85441249,1.7489229,0.46414658,0.034661435,0.01881428,0.064358343,0.01852907,0.72388366,2.3964836
0.96620213,1.341146,0.5064394,0.046627944,0.017441127,0.09219271,0.011325207,0.66469048,2.6484244
0.95274691,1.3715758,0.53896136,0.036574383,0.019525171,0.095282652,0.016288208,0.76221175,2.7282411
0.92402564,1.5113094,0.50506161,0.0387702,0.024616189,0.095929719,0.012606007,0.61779129,2.5989877
0.94400878,1.9360767,0.43133512,0.035768091,0.017118213,0.049105227,0.011574944,0.67673653,2.5693071
0.94681497,2.1291074,0.39095197,0.047239094,0.014902448,0.079322262,0.010859453,0.65811907,2.4661811
0.87582633,1.7135502,0.44736304,0.037481963,0.027234059,0.036694092,0.010365093,0.54228565,2.4035884
0.90290101,1.7070089,0.46294251,0.039647922,0.015621705,0.067176179,0.010790337,0.50865249,2.4877261
0.87109433,1.6228339,0.49156437,0.026378847,0.03650052,0.048399613,0.015753522,0.69280291,2.5149025
0.85831769,1.6285137,0.49770051,0.027545471,0.029844626,0.037083514,0.019250236,0.80267308,2.4881037
0.84737616,1.436703,0.48902442,0.035546157,0.017498701,0.056986862,0.011935794,0.78955834,2.384301
0.9532864,1.8461408,0.44416858,0.04432811,0.013635403,0.082094925,0.010119156,0.41781016,2.5688926
0.93275611,1.6647057,0.44134911,0.043579147,0.029774215,0.069481799,0.010221196,0.54955024,2.500689
0.97489572,1.6532306,0.41721365,0.038556246,0.015032533,0.082428903,0.024864529,0.80195679,2.5799699
0.93829258,1.8200288,0.57529235,0.028608115,0.044461422,0.075919308,0.016962927,0.57064918,2.8718671
0.87526894,1.8401526,0.44177209,0.048125176,0.013464167,0.059334553,0.016060679,0.72167,2.359821
0.98160217,1.8499854,0.47938224,0.031039146,0.033771137,0.092070341,0.012429862,0.57416895,2.7746533
0.96383377,1.4313573,0.43283317,0.032977525,0.019333077,0.049142076,0.011582623,0.67122641,2.5876987
0.92218051,1.5734571,0.44531516,0.04596765,0.011637474,0.046658482,0.01240217,0.6473981,2.4633127
0.94330607,1.7152891,0.43827631,0.028834682,0.013204189,0.091165497,0.018879877,0.69385212,2.5932723
0.90439656,1.4394846,0.45777373,0.04342072,0.030094805,0.067745733,0.010945117,0.62489533,2.4392604
0.9289363,1.7528105,0.40826063,0.038220652,0.010983528,0.094480901,0.030539059,0.74810579,2.4627675
0.85890097,1.9366891,0.38495784,0.039439902,0.028010577,0.061142329,0.011148399,0.58763413,2.2642577
0.90642566,1.8462086,0.44536247,0.033527139,0.030970324,0.044971124,0.0128602,0.56212296,2.5058995
0.90892219,1.320652,0.4689047,0.036483911,0.012010238,0.064680472,0.028910406,0.64006629,2.4882588
0.92820669,2.1129992,0.41884224,0.043672018,0.0147468,0.06667369,0.011819039,0.70103518,2.4878158
0.89047543,1.6014622,0.51696164,0.037450433,0.010254029,0.077368015,0.015941556,0.64585761,2.5524131
0.97732889,1.8238995,0.4396203,0.034245105,0.01530433,0.09854732,0.030385863,0.58190097,2.6640877
0.9648536,1.5535011,0.44686242,0.033485546,0.012748901,0.098767173,0.016689158,0.57758677,2.6252157
0.97030718,1.7047934,0.35279357,0.038220773,0.059064629,0.09459051,0.016139982,0.5206977,2.4565325
